periodo,codigo_serie,perfil,imp_hist
2025-01,AGUA DESMINERALIZADA 5000ML,FAR,836193.2576
2025-01,AGUA DESMINERALIZADA 5000ML,PER,4352.74
2025-01,AGUA DESTILADA INYECTABLE X 10 ML AMP VID,IPR,80952.0
2025-01,AGUA DESTILADA INYECTABLE X 1000 ML,DRO,-263296.0
2025-01,AGUA DESTILADA INYECTABLE X 1000 ML,FAR,308648.77
2025-01,AGUA DESTILADA INYECTABLE X 1000 ML,IPR,39210.08
2025-01,AGUA DESTILADA INYECTABLE X 5 ML AMP VID,DRO,116475.0
2025-01,AGUA DESTILADA INYECTABLE X 5 ML AMP VID,FAR,153180.26
2025-01,AGUA DESTILADA INYECTABLE X 5 ML AMP VID,IPR,817045.0
2025-01,AGUA DESTILADA INYECTABLE X 5 ML AMP VID,IPU,7809555.0
2025-01,AGUA DESTILADA INYECTABLE X 5 ML AMP VID,OES,730600.0
2025-01,AGUA DESTILADA INYECTABLE X 500 ML S/C,DRO,74110.48000000001
2025-01,AGUA DESTILADA INYECTABLE X 500 ML S/C,FAR,1420507.49
2025-01,AGUA DESTILADA INYECTABLE X 500 ML S/C,IPR,5092990.41
2025-01,AGUA DESTILADA INYECTABLE X 500 ML S/C,OES,365450.4
2025-01,AGUA DESTILADA P/IRRIGACION X 2000 ML,IPR,393714.24
2025-01,AGUA OXIGENADA 10 VOL FNA VII GOTERO X 0.100,DRO,1150.56
2025-01,AGUA OXIGENADA 10 VOL FNA VII GOTERO X 0.100,FAR,114339.098
2025-01,AGUA OXIGENADA 10 VOL FNA VII X 1L,FAR,74635.92
2025-01,AGUA OXIGENADA 10 VOL FNA VII X 250 GRS,FAR,167784.584
2025-01,AGUA OXIGENADA 10 VOL FNA VII X 500 GRS,FAR,111051.5244
2025-01,AGUA OXIGENADA 10 VOL.   30ML,FAR,108133.61
2025-01,AGUA OXIGENADA 10 VOL.  100ML,DRO,191352.16
2025-01,AGUA OXIGENADA 10 VOL.  100ML,FAR,7855485.9335
