codigo_serie;nivel_agregacion;perfil;Neg;Subneg;Familia;submodelo;clasificacion_serie;motivo;pos_12;zero_12;pos_rate_12;racha_zeros_final;periodo_eval_ini;periodo_eval_fin;periodo_panel_max
APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;FAMILIA;DPM;4;1;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;FAMILIA;IPU;4;1;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 10X20 SIMPLE SOBRE;FAMILIA;COM;4;1;APOSITO ALGODON/GASA 10X20 SIMPLE SOBRE;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 10X20 SIMPLE SOBRE;FAMILIA;DPM;4;1;APOSITO ALGODON/GASA 10X20 SIMPLE SOBRE;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 10X20 SIMPLE SOBRE;FAMILIA;IPU;4;1;APOSITO ALGODON/GASA 10X20 SIMPLE SOBRE;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;7;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 10X20 SIMPLE SOBRE;FAMILIA;OES;4;1;APOSITO ALGODON/GASA 10X20 SIMPLE SOBRE;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;21;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 12X20 GRANEL;FAMILIA;DRO;4;1;APOSITO ALGODON/GASA 12X20 GRANEL;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;2;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 12X20 SIMPLE SOB EST.;FAMILIA;COM;4;1;APOSITO ALGODON/GASA 12X20 SIMPLE SOB EST.;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;20;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 12X20 SIMPLE SOB EST.;FAMILIA;DRO;4;1;APOSITO ALGODON/GASA 12X20 SIMPLE SOB EST.;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;21;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 12X20 SIMPLE SOB EST.;FAMILIA;IPR;4;1;APOSITO ALGODON/GASA 12X20 SIMPLE SOB EST.;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 14X22 DOBLE SOB EST.;FAMILIA;IPU;4;1;APOSITO ALGODON/GASA 14X22 DOBLE SOB EST.;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;17;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 14X22 DOBLE SOB EST.;FAMILIA;OES;4;1;APOSITO ALGODON/GASA 14X22 DOBLE SOB EST.;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 15X20 10GRS GRANEL;FAMILIA;DRO;4;1;APOSITO ALGODON/GASA 15X20 10GRS GRANEL;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;1;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 15X20 20GRS DOBLE ENV.;FAMILIA;IPR;4;1;APOSITO ALGODON/GASA 15X20 20GRS DOBLE ENV.;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;22;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 15X20 20GRS DOBLE ENV.;FAMILIA;IPU;4;1;APOSITO ALGODON/GASA 15X20 20GRS DOBLE ENV.;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;15;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 15X20 SIMPLE SOB EST.;FAMILIA;COM;4;1;APOSITO ALGODON/GASA 15X20 SIMPLE SOB EST.;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;20;2025-01;2025-12;2025-12
