codigo_serie;nivel_agregacion;perfil;Neg;Subneg;Familia;submodelo;clasificacion_serie;motivo;pos_12;zero_12;pos_rate_12;racha_zeros_final;periodo_eval_ini;periodo_eval_fin;periodo_panel_max
(100)ASA 1 UL 8/1 PEEL;FAMILIA;IPU;4;6;(100)ASA 1 UL 8/1 PEEL;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
*LNA*MICR.AUTOM. TOTL AUT V.FIJO AHN 50U;FAMILIA;IPU;4;6;*LNA*MICR.AUTOM. TOTL AUT V.FIJO AHN 50U;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
1/0917 CIRCUITO ARM RESPIRADOR 2T WESTMED (5703);FAMILIA;DRO;4;1;1/0917 CIRCUITO ARM RESPIRADOR 2T WESTMED (5703);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;22;2025-01;2025-12;2025-12
ABON FOB;FAMILIA;IPR;4;9;ABON FOB;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
ACCESORIO INCONTINENCIA 30 MM;FAMILIA;DPM;4;5;ACCESORIO INCONTINENCIA 30 MM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;15;2025-01;2025-12;2025-12
ACEITE DE ALMENDRAS 50ML (DISC);FAMILIA;IPR;4;4;ACEITE DE ALMENDRAS   50ML (DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;7;2025-01;2025-12;2025-12
ACEITE DE SILICONA X 170 G AER;FAMILIA;IPU;6;12;ACEITE DE SILICONA X 170 G AER;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;5;2025-01;2025-12;2025-12
ACEITE DE SILICONA X 170 G AER;FAMILIA;OES;6;12;ACEITE DE SILICONA X 170 G AER;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACETILCISTEINA 600 MG COMP EFERV;FAMILIA;OES;6;4;ACETILCISTEINA 600 MG COMP EFERV;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACETILCISTEINA 600 MG SOBRES;FAMILIA;DRO;6;4;ACETILCISTEINA 600 MG SOBRES;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
ACETILCISTEINA 600 MG SOBRES;FAMILIA;OES;6;4;ACETILCISTEINA 600 MG SOBRES;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;17;2025-01;2025-12;2025-12
ACICLOVIR 5 G X 10 G CREMA;FAMILIA;IPR;6;3;ACICLOVIR 5 G X 10 G CREMA;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACICLOVIR 5 G X 10 G CREMA;FAMILIA;IPU;6;3;ACICLOVIR 5 G X 10 G CREMA;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;12;2025-01;2025-12;2025-12
ACICLOVIR 5 G X 5 G CREMA;FAMILIA;OES;6;12;ACICLOVIR 5 G X 5 G CREMA;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACICLOVIR 8 G/ML X 120 ML SUSP;FAMILIA;DRO;6;12;ACICLOVIR 8 G/ML X 120 ML SUSP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACICLOVIR 8 G/ML X 120 ML SUSP;FAMILIA;OES;6;12;ACICLOVIR 8 G/ML X 120 ML SUSP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
ACICLOVIR 800 COMP;FAMILIA;IPR;6;4;ACICLOVIR 800 COMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;19;2025-01;2025-12;2025-12
ACICLOVIR 800 COMP;FAMILIA;IPU;6;4;ACICLOVIR 800 COMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;3;2025-01;2025-12;2025-12
ACICLOVIR 800 COMP;FAMILIA;OES;6;4;ACICLOVIR 800 COMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;9;2025-01;2025-12;2025-12
ACIDO AMINOCAPROICO 200 MG/10 ML AMP;FAMILIA;DRO;6;1;ACIDO AMINOCAPROICO 200 MG/10 ML AMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;3;2025-01;2025-12;2025-12
ACIDO AMINOCAPROICO 200 MG/10 ML AMP;FAMILIA;IPR;6;1;ACIDO AMINOCAPROICO 200 MG/10 ML AMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;2;2025-01;2025-12;2025-12
ACIDO AMINOCAPROICO 200 MG/10 ML AMP;FAMILIA;IPU;6;1;ACIDO AMINOCAPROICO 200 MG/10 ML AMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;5;2025-01;2025-12;2025-12
ACIDO AMINOCAPROICO 200 MG/10 ML AMP;FAMILIA;OES;6;1;ACIDO AMINOCAPROICO 200 MG/10 ML AMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACIDO BORICO X 25GRS;FAMILIA;DRO;4;4;ACIDO BORICO X 25GRS;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
ACIDO BORICO X 25GRS;FAMILIA;IPR;4;4;ACIDO BORICO X 25GRS;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
ACIDO FOLICO 1 MG COMP;FAMILIA;IPR;6;4;ACIDO FOLICO 1 MG COMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;8;2025-01;2025-12;2025-12
ACIDO FOLICO 1 MG COMP;FAMILIA;IPU;6;4;ACIDO FOLICO 1 MG COMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;12;2025-01;2025-12;2025-12
ACIDO FOLICO 5 MG COMP;FAMILIA;IPR;6;4;ACIDO FOLICO 5 MG COMP;SM4_DRO_DPM;NO ELEGIBLE;racha_zeros_final > 1;10;2;0,833333;2;2025-01;2025-12;2025-12
ACIDO FOLICO 5 MG/ML X 10 ML GTS;FAMILIA;OES;6;12;ACIDO FOLICO 5 MG/ML X 10 ML GTS;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;9;2025-01;2025-12;2025-12
ACIDO FUSIDICO + BETAMETASONA X 15 GR CREMA;FAMILIA;DRO;6;12;ACIDO FUSIDICO + BETAMETASONA X 15 GR CREMA;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;12;2025-01;2025-12;2025-12
ACIDO FUSIDICO + BETAMETASONA X 15 GR CREMA;FAMILIA;IPR;6;12;ACIDO FUSIDICO + BETAMETASONA X 15 GR CREMA;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;12;2025-01;2025-12;2025-12
ACIDO FUSIDICO + BETAMETASONA X 15 GR CREMA;FAMILIA;IPU;6;12;ACIDO FUSIDICO + BETAMETASONA X 15 GR CREMA;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;15;2025-01;2025-12;2025-12
ACIDO FUSIDICO 15 GR CREMA;FAMILIA;DRO;6;12;ACIDO FUSIDICO 15 GR CREMA;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;20;2025-01;2025-12;2025-12
ACIDO FUSIDICO 15 GR CREMA;FAMILIA;IPR;6;12;ACIDO FUSIDICO 15 GR CREMA;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;2;2025-01;2025-12;2025-12
ACIDO TIOCTICO 600 MG COMP;FAMILIA;IPU;6;4;ACIDO TIOCTICO 600 MG COMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
ACIDO TRANEXAMICO 1 G X 10 ML AMP;FAMILIA;OSU;6;1;ACIDO TRANEXAMICO 1 G X 10 ML AMP;SM5_IPR_OTHERS;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACIDO VALPROICO 5% X 120 ML JAR;FAMILIA;OES;6;12;ACIDO VALPROICO 5% X 120 ML JAR;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ADAPTADOR DE ALIMENTACION ENTERAL;FAMILIA;DRO;6;9;ADAPTADOR DE ALIMENTACION ENTERAL;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;22;2025-01;2025-12;2025-12
ADAPTADOR P/VALVULA DE PEEP;FAMILIA;OES;4;1;ADAPTADOR P/VALVULA DE PEEP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;16;2025-01;2025-12;2025-12
ADECUACION DE PRECIOS A LA 1° REDET. OC N°: 2025/000115;FAMILIA;IPU;6;1;ADECUACION DE PRECIOS A LA 1° REDET. OC N°: 2025/000115;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;18;2025-01;2025-12;2025-12
ADENOSINA 6 MG X 2 ML AMP;FAMILIA;COM;6;1;ADENOSINA 6 MG X 2 ML AMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;15;2025-01;2025-12;2025-12
ADENOSINA 6 MG X 2 ML AMP;FAMILIA;OSU;6;1;ADENOSINA 6 MG X 2 ML AMP;SM5_IPR_OTHERS;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;15;2025-01;2025-12;2025-12
ADHESIVO TISULAR HEMOSTATICO - BERIPLAST COMBI X 1 ML;FAMILIA;DRO;6;6;ADHESIVO TISULAR HEMOSTATICO - BERIPLAST COMBI X 1 ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;21;2025-01;2025-12;2025-12
ADHESIVO TISULAR HEMOSTATICO - BERIPLAST COMBI X 1 ML;FAMILIA;IPU;6;6;ADHESIVO TISULAR HEMOSTATICO - BERIPLAST COMBI X 1 ML;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;18;2025-01;2025-12;2025-12
ADHESIVO TISULAR HEMOSTATICO - BERIPLAST COMBI X 3 ML;FAMILIA;DRO;6;6;ADHESIVO TISULAR HEMOSTATICO - BERIPLAST COMBI X 3 ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;23;2025-01;2025-12;2025-12
ADHESIVO TISULAR HEMOSTATICO - BERIPLAST COMBI X 3 ML;FAMILIA;OES;6;6;ADHESIVO TISULAR HEMOSTATICO - BERIPLAST COMBI X 3 ML;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
ADHESIVO TISULAR PLASMINOGENO 50 MG FA (ACTILYSE);FAMILIA;OSU;6;6;ADHESIVO TISULAR PLASMINOGENO 50 MG FA (ACTILYSE);SM5_IPR_OTHERS;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;0;2025-01;2025-12;2025-12
ADHESIVO TISULAR PLASMINOGENO 50 MG FA (ACTILYSE);FAMILIA;PRO;6;6;ADHESIVO TISULAR PLASMINOGENO 50 MG FA (ACTILYSE);SM5_IPR_OTHERS;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;19;2025-01;2025-12;2025-12
ADRENALINA 1 MG X 1 ML AMP;FAMILIA;COM;6;1;ADRENALINA 1 MG X 1 ML AMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;18;2025-01;2025-12;2025-12
ADRENALINA 1 MG X 1 ML AMP;FAMILIA;OSP;6;1;ADRENALINA 1 MG X 1 ML AMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;23;2025-01;2025-12;2025-12
ADRENALINA 1 MG X 1 ML AMP;FAMILIA;OSU;6;1;ADRENALINA 1 MG X 1 ML AMP;SM5_IPR_OTHERS;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;19;2025-01;2025-12;2025-12
AEROCAMARA COLAPSABLE P/ CIRCUITO ARM VENTCHAMBER;FAMILIA;DRO;4;1;AEROCAMARA COLAPSABLE P/ CIRCUITO ARM VENTCHAMBER;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;16;2025-01;2025-12;2025-12
AEROCAMARA ESPAC.C/MASC. BIVALV ADULTO;FAMILIA;COM;4;1;AEROCAMARA ESPAC.C/MASC. BIVALV ADULTO;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;18;2025-01;2025-12;2025-12
AEROCAMARA ESPAC.C/MASC. BIVALV JUVENIL;FAMILIA;COM;4;1;AEROCAMARA ESPAC.C/MASC. BIVALV JUVENIL;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;15;2025-01;2025-12;2025-12
AEROCAMARA ESPAC.C/MASC. BIVALV JUVENIL;FAMILIA;DRO;4;1;AEROCAMARA ESPAC.C/MASC. BIVALV JUVENIL;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;20;2025-01;2025-12;2025-12
AEROCAMARA ESPAC.C/MASC. BIVALV NEONAT;FAMILIA;COM;4;1;AEROCAMARA ESPAC.C/MASC. BIVALV NEONAT;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;19;2025-01;2025-12;2025-12
AEROCAMARA ESPAC.C/MASC. BIVALV NEONAT;FAMILIA;DPM;4;1;AEROCAMARA ESPAC.C/MASC. BIVALV NEONAT;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;19;2025-01;2025-12;2025-12
AEROCAMARA ESPAC.C/MASC. BIVALV NEONAT;FAMILIA;OES;4;1;AEROCAMARA ESPAC.C/MASC. BIVALV NEONAT;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;8;2025-01;2025-12;2025-12
AEROCAMARA ESPAC.C/MASC. BIVALV PEDIAT;FAMILIA;DPM;4;1;AEROCAMARA ESPAC.C/MASC. BIVALV PEDIAT;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;20;2025-01;2025-12;2025-12
AEROCAMARA ESPAC.C/MASC. BIVALV PEDIAT C/BOQ.;FAMILIA;OES;4;1;AEROCAMARA ESPAC.C/MASC. BIVALV PEDIAT C/BOQ.;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;7;2025-01;2025-12;2025-12
AGUA BLANCA CODEX 250ML;FAMILIA;DRO;4;4;AGUA BLANCA CODEX 250ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;2;2025-01;2025-12;2025-12
AGUA DE ALIBOUR 1000ML;FAMILIA;DRO;4;4;AGUA DE ALIBOUR 1000ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;4;2025-01;2025-12;2025-12
AGUA DE ALIBOUR 100ML;FAMILIA;DRO;4;4;AGUA DE ALIBOUR  100ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;4;2025-01;2025-12;2025-12
AGUA DE ALIBOUR 100ML;FAMILIA;IPR;4;4;AGUA DE ALIBOUR  100ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;3;2025-01;2025-12;2025-12
AGUA DE ALIBOUR 250ML;FAMILIA;DRO;4;4;AGUA DE ALIBOUR  250ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
AGUA DE ALIBOUR 250ML;FAMILIA;IPU;4;4;AGUA DE ALIBOUR  250ML;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;7;2025-01;2025-12;2025-12
AGUA DE ALIBOUR 5000ML;FAMILIA;DRO;4;4;AGUA DE ALIBOUR 5000ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;4;2025-01;2025-12;2025-12
AGUA DE ALIBOUR 5000ML;FAMILIA;IPU;4;4;AGUA DE ALIBOUR 5000ML;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
AGUA DESMINERALIZADA 1000ML;FAMILIA;IPR;4;4;AGUA DESMINERALIZADA 1000ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;13;2025-01;2025-12;2025-12
AGUA DESTILADA INYECTABLE X 10 ML AMP;FAMILIA;IPU;6;1;AGUA DESTILADA INYECTABLE X 10 ML AMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;5;2025-01;2025-12;2025-12
AGUA DESTILADA INYECTABLE X 10 ML AMP PLAST;FAMILIA;IPR;6;1;AGUA DESTILADA INYECTABLE X 10 ML AMP PLAST;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;23;2025-01;2025-12;2025-12
AGUA DESTILADA INYECTABLE X 10 ML AMP PLAST;FAMILIA;OES;6;1;AGUA DESTILADA INYECTABLE X 10 ML AMP PLAST;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;23;2025-01;2025-12;2025-12
AGUA DESTILADA INYECTABLE X 10 ML AMP VID;FAMILIA;COM;6;1;AGUA DESTILADA INYECTABLE X 10 ML AMP VID;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;23;2025-01;2025-12;2025-12
AGUA DESTILADA INYECTABLE X 10 ML AMP VID;FAMILIA;OSP;6;1;AGUA DESTILADA INYECTABLE X 10 ML AMP VID;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;17;2025-01;2025-12;2025-12
AGUA DESTILADA INYECTABLE X 1000 ML;FAMILIA;OSP;6;11;AGUA DESTILADA INYECTABLE X 1000 ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;5;2025-01;2025-12;2025-12
AGUA DESTILADA INYECTABLE X 5 ML AMP;FAMILIA;DRO;6;11;AGUA DESTILADA INYECTABLE X 5 ML AMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;4;2025-01;2025-12;2025-12
AGUA DESTILADA INYECTABLE X 5 ML AMP;FAMILIA;IPU;6;11;AGUA DESTILADA INYECTABLE X 5 ML AMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;5;2025-01;2025-12;2025-12
AGUA DESTILADA INYECTABLE X 5 ML AMP PLAST;FAMILIA;IPU;6;1;AGUA DESTILADA INYECTABLE X 5 ML AMP PLAST;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;15;2025-01;2025-12;2025-12
AGUA DESTILADA P/IRRIGACION X 2000 ML;FAMILIA;IPU;6;11;AGUA DESTILADA P/IRRIGACION X 2000 ML;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
AGUA OXIGENADA 10 VOL FNA VII GOTERO X 0.100;FAMILIA;DRO;4;4;AGUA OXIGENADA 10 VOL FNA VII GOTERO X 0.100;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
AGUA OXIGENADA 10 VOL FNA VII X 1L;FAMILIA;DRO;4;4;AGUA OXIGENADA 10 VOL FNA VII X 1L;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;16;2025-01;2025-12;2025-12
AGUA OXIGENADA 10 VOL FNA VII X 250 GRS;FAMILIA;IPR;4;4;AGUA OXIGENADA 10 VOL FNA VII X 250 GRS;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;7;2025-01;2025-12;2025-12
AGUA OXIGENADA 10 VOL FNA VII X 500 GRS;FAMILIA;IPR;4;4;AGUA OXIGENADA 10 VOL FNA VII X 500 GRS;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;18;2025-01;2025-12;2025-12
AGUA OXIGENADA 10 VOL. 250ML;FAMILIA;SAN;4;4;AGUA OXIGENADA 10 VOL.  250ML;SM5_IPR_OTHERS;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
AGUA OXIGENADA 10 VOL. 30ML;FAMILIA;DRO;4;4;AGUA OXIGENADA 10 VOL.   30ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;2;2025-01;2025-12;2025-12
AGUA OXIGENADA 10 VOL. 5000ML;FAMILIA;DRO;4;4;AGUA OXIGENADA 10 VOL. 5000ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;9;2025-01;2025-12;2025-12
AGUA OXIGENADA 10 VOL. 5000ML;FAMILIA;SAN;4;4;AGUA OXIGENADA 10 VOL. 5000ML;SM5_IPR_OTHERS;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;20;2025-01;2025-12;2025-12
AGUA OXIGENADA 10 VOL. 500ML;FAMILIA;OSP;4;4;AGUA OXIGENADA 10 VOL.  500ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;5;2025-01;2025-12;2025-12
AGUA OXIGENADA 10 VOL. 500ML;FAMILIA;SAN;4;4;AGUA OXIGENADA 10 VOL.  500ML;SM5_IPR_OTHERS;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
AGUA OXIGENADA CR 30 VOL 75ML;FAMILIA;DRO;4;4;AGUA OXIGENADA CR 30 VOL 75ML;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;17;2025-01;2025-12;2025-12
AGUJA BIOP MAMA TRUCUT AUT BIOCORE II MG 14G 13CM (551413);FAMILIA;DRO;4;1;AGUJA BIOP MAMA TRUCUT AUT BIOCORE II MG 14G 13CM (551413);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;21;2025-01;2025-12;2025-12
AGUJA BIOP MAMA TRUCUT AUT BIOCORE II MG 14G 13CM (551413);FAMILIA;IPR;4;1;AGUJA BIOP MAMA TRUCUT AUT BIOCORE II MG 14G 13CM (551413);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;13;2025-01;2025-12;2025-12
AGUJA BIOP MAMA TRUCUT AUT BIOCORE II MG 14G 13CM (551413);FAMILIA;OES;4;1;AGUJA BIOP MAMA TRUCUT AUT BIOCORE II MG 14G 13CM (551413);SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
AGUJA BIOP PROST SEMIAUT BIOCORE II TC 18GX20CM;FAMILIA;OES;4;1;AGUJA BIOP PROST SEMIAUT BIOCORE II TC 18GX20CM;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;17;2025-01;2025-12;2025-12
AGUJA BIOP PROST SEMIAUT BIOCORE II TC 18GX25CM;FAMILIA;OES;4;1;AGUJA BIOP PROST SEMIAUT BIOCORE II TC 18GX25CM;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;16;2025-01;2025-12;2025-12
AGUJA BIOP RENAL SEMIAUT BIOCORE II TC 16GX20CM;FAMILIA;IPU;4;1;AGUJA BIOP RENAL SEMIAUT BIOCORE II TC 16GX20CM;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;13;2025-01;2025-12;2025-12
AGUJA BIOP RENAL TRUCUT AUT BIOCORE II MG 16G 15CM (551615);FAMILIA;DRO;4;1;AGUJA BIOP RENAL TRUCUT AUT BIOCORE II MG 16G 15CM (551615);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;0;2025-01;2025-12;2025-12
AGUJA BIOP RENAL TRUCUT AUT BIOCORE II MG 16G 20CM (551620);FAMILIA;DRO;4;1;AGUJA BIOP RENAL TRUCUT AUT BIOCORE II MG 16G 20CM (551620);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;21;2025-01;2025-12;2025-12
AGUJA BIOP RENAL TRUCUT AUT BIOCORE II MG 16G 20CM (551620);FAMILIA;IPR;4;1;AGUJA BIOP RENAL TRUCUT AUT BIOCORE II MG 16G 20CM (551620);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;3;2025-01;2025-12;2025-12
AGUJA BIOP RENAL TRUCUT AUT BIOCORE II MG 16G 20CM (551620);FAMILIA;OES;4;1;AGUJA BIOP RENAL TRUCUT AUT BIOCORE II MG 16G 20CM (551620);SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;13;2025-01;2025-12;2025-12
AGUJA BIOPSIA 11G X 10CM;FAMILIA;DPM;4;1;AGUJA BIOPSIA 11G X 10CM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;22;2025-01;2025-12;2025-12
AGUJA BIOPSIA 8G X 10CM;FAMILIA;COM;4;1;AGUJA BIOPSIA 8G X 10CM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;12;2025-01;2025-12;2025-12
AGUJA BIOPSIA 8G X 10CM;FAMILIA;DPM;4;1;AGUJA BIOPSIA 8G X 10CM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
AGUJA BIOPSIA 8G X 15CM;FAMILIA;COM;4;1;AGUJA BIOPSIA 8G X 15CM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;12;2025-01;2025-12;2025-12
AGUJA BIOPSIA 8G X 15CM;FAMILIA;DPM;4;1;AGUJA BIOPSIA 8G X 15CM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;19;2025-01;2025-12;2025-12
AGUJA BIOPSIA 8G X 15CM;FAMILIA;OES;4;1;AGUJA BIOPSIA 8G X 15CM;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;7;2025-01;2025-12;2025-12
AGUJA BIOPSIA ASPIRACION MEDULA OSEA 16G;FAMILIA;OSP;4;1;AGUJA BIOPSIA ASPIRACION MEDULA OSEA 16G;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;5;2025-01;2025-12;2025-12
AGUJA BIOPSIA ASPIRACION MEDULA OSEA 16G;FAMILIA;OSU;4;1;AGUJA BIOPSIA ASPIRACION MEDULA OSEA 16G;SM5_IPR_OTHERS;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;6;2025-01;2025-12;2025-12
AGUJA BIOPSIA ASPIRACION MEDULA OSEA 18G;FAMILIA;DRO;4;1;AGUJA BIOPSIA ASPIRACION MEDULA OSEA 18G;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;23;2025-01;2025-12;2025-12
